Heure,L,M,Me,J,V,S,D
0,0.50,0.50,0.50,0.50,0.50,0.25,0.00
1,0.50,0.50,0.50,0.50,0.50,0.25,0.00
2,0.50,0.50,0.50,0.50,0.50,0.25,0.00
3,0.50,0.50,0.50,0.50,0.50,0.25,0.00
4,0.50,0.50,0.50,0.50,0.50,0.25,0.00
5,0.50,0.50,0.50,0.50,0.50,0.25,0.00
6,0.50,0.50,0.50,0.50,0.50,0.25,0.00
7,0.50,0.50,0.50,0.50,0.50,0.25,0.00
8,1.00,1.00,1.00,1.00,1.00,0.25,0.00
9,1.00,1.00,1.00,1.00,1.00,0.25,0.00
10,1.00,1.00,1.00,1.00,1.00,0.25,0.00
11,1.00,1.00,1.00,1.00,1.00,0.25,0.00
12,1.00,1.00,1.00,1.00,1.00,0.25,0.00
13,1.00,1.00,1.00,1.00,1.00,0.25,0.00
14,1.00,1.00,1.00,1.00,1.00,0.25,0.00
15,1.00,1.00,1.00,1.00,1.00,0.25,0.00
16,1.00,1.00,1.00,1.00,1.00,0.25,0.00
17,1.00,1.00,1.00,1.00,1.00,0.25,0.00
18,1.00,1.00,1.00,1.00,1.00,0.25,0.00
19,1.00,1.00,1.00,1.00,1.00,0.25,0.00
20,0.75,0.75,0.75,0.75,0.75,0.25,0.00
21,0.75,0.75,0.75,0.75,0.75,0.25,0.00
22,0.75,0.75,0.75,0.75,0.75,0.25,0.00
23,0.75,0.75,0.75,0.75,0.75,0.25,0.00
